,artist,biography,listeners,playcount
16,Jorma Kaukonen,"Jorma Ludwik Kaukonen, Jr. (born December 23, 1940) is an American blues, folk, and rock guitarist, best known for his work with Jefferson Airplane and Hot Tuna.

Born in Washington, D.C., the son of Beatrice Love (née Levine) and Jorma Ludwig Kaukonen, Jorma Kaukonen had Finnish paternal grandparents and Russian Jewish ancestry on his mother's side. Kaukonen was a founding member of the popular psychedelic San Francisco-based band Jefferson Airplane, which scored two Top 10 radio hits in 1967 with ""Somebody to Love"" and ""White Rabbit."" Read more on Last.fm",50167,396929
17,Color for Shane,"Alternative, garage, indie, punk-rock band. Got the point?
Not at all, don't you?
Well, just listen...
Rafael Pires - Guitar
Henrique - Drums Read more on Last.fm",436,3881
18,The Ready Set,"The Ready Set is the solo project of Jordan Witzigreuter, created on November 17th, 2007.

Born and raised in Fort Wayne, Indiana, his interest in music formed when he began playing drums at the age of 10. He says that he came home one day and his mom told him that she had signed him up for drum lessons. He states that those lessons are the main reasons he is where he is in music today. By the age of 14 he was playing in bands, playing drums while getting more familiar with other instruments, and by the age of 16 he was touring in them. Read more on Last.fm",378699,5558761
19,Alexie Divello,Read more on Last.fm,2819,10205
20,Ayumi Ishito,"Saxophonist and composer Ayumi Ishito has been performing in New York’s vast music scene since completing her studies at Berklee College of Music in 2010. In the time up until now Ishito has played a wide variety of musical styles such as jazz, blues, gospel, funk, experimental, world music and too many other sub-genres to name.

This time spent honing her craft outside of the academic world has given Ishito a roundness that she couldn’t have otherwise obtained. Read more on Last.fm",882,5884
21,Uncle Sam,"There are several artists called Uncle Sam:

1) Uncle Sam (Sam Turner), born May 31, 1971 in Detroit, Michigan, is an American R&B singer. He is best known for his song ""I Don't Ever Want to See You Again"", which peaked at #6 on the Billboard Hot 100 and sold over one million copies. He was discovered by Boyz II Men and was signed to their personal label Stonecreek Records.

Uncle Sam also sang a cover of ""When I See You Smile"", originally recorded by Bad English, for the television program, Touched by an Angel. Read more on Last.fm",35739,187737
22,Joe Mooney,"Joe Mooney
Born 03/14/1911 (Paterson, NJ)
Died 05/12/1975 (Fort Lauderdale, FL)
For a period of time, Joe Mooney was a well-known jazz accordionist -- which is definitely a small field -- but he had a lengthy and a rather episodic career. He went blind in the early '20s but by 1926 was playing duets with his brother Dan on radio. They recorded from 1929-31 as the Sunshine Boys (also as the Melotone Boys); Joe played piano and both brothers sang while joined by some notable jazz all-stars. Read more on Last.fm",1089,7280
23,Todd Rundgren,"Todd Rundgren is an American singer-songwriter and producer who has performed a diverse range of styles as a solo artist and as founder of the band Utopia. Starting in the 1960s with the psychedelic band Nazz in Philadelphia, his solo career started out successfully with such hits as ""I Saw the Light"" and ""Hello It's Me"" (a reworked Nazz tune). With his 1972 release 'Something/Anything?' seen as a magnum opus due to its mix of power pop, rock n roll, and more. Read more on Last.fm",758609,12089158
24,Mose Allison,"Mose Allison (born John Mose Allison. Jr., Tippo, MS, November 11, 1927; died 15 November 2016) was an American jazz pianist, singer. and songwriter. Amongst his best known songs is Parchman Farm. His music influenced many blues and rock artists including The Rolling Stones, John Mayall, J.J. Cale and The Who, that latter of whom played Allison's song Young Man Blues on several tours. The father of country songwriter Amy Allison, he was inducted into the Long Island Music Hall of Fame in 2006. Read more on Last.fm",171352,1386115
25,Landing,"Ambient drift rock band Landing were formed in 1998 by married couple Aaron and Adrienne Snow, two musicians who met at Brigham Young University and moved to Connecticut after graduating. Starting out as a duo under the name May Landing, keyboardist Adrienne and guitarist Aaron were eventually joined by drummer/bassist Daron Gardner and guitarist/bassist Dick Baldwin, and later on by multi-instrumentalist Peter Baumann (often erroneously mistaken for the former Tangerine Dream member of the same name). Read more on Last.fm",36599,537670
26,Nick Finzer,Read more on Last.fm,4001,16832
27,Johnny Winter,"John Dawson ""Johnny"" Winter III (born February 23, 1944 died July 16, 2014) was an American blues guitarist, singer, and producer. Best known for his late 1960s and 1970s high-energy blues rock albums and live performances, Winter also produced three Grammy Award-winning albums for blues legend Muddy Waters. Since his time with Waters, Johnny Winter has recorded several Grammy-nominated blues albums and continues to tour extensively. In 1988, he was inducted into the Blues Foundation Hall of Fame and in 2003 Read more on Last.fm",447169,4165341
28,Lil Dev,Read more on Last.fm,1910,34187
29,Hanses,Read more on Last.fm,28194,70797
30,Jaivah,Read more on Last.fm,1095,8416
31,Husan,Read more on Last.fm,3892,18131
32,TV's Kyle,"Kyle A Carrozza is a cartoonist in Burbank, CA who also recorded goofy songs for some reason. He'd done so since he was very young. When he was 16, Dr. Demento played an early version of Bob From Accounting, which only encouraged him. You used to hear him release a song on The FuMP (http://www.thefump.com) every month or so, and he regularly updated his cartoon theme cover album ""TV's Kyle Sings the Cartoons"" at http://www.TVsKyleband.com . In June 2024, he was arrested on two counts of child pornography possession. Read more on Last.fm",3220,29133
33,Shoes,"There are multiple artists that use the name Shoes.

1) Shoes is an American power pop band that brothers John Murphy and Jeff Murphy alongside Gary Klebe formed in Zion, Illinois in 1974. Picking up a cult following among power pop fans from their mellow, new wave inspired rock. they've incorporated several different drummers over the years, including Barry Shumaker, Skip Meyer, Ric Menck, John Richardson, and Jeff Hunter. The band are perhaps best known for their critically acclaimed albums 'Present Tense' and 'Tongue Twister' Read more on Last.fm",37210,429267
34,Kostas Makedonas,"Kostas Makedonas (Κώστας Μακεδόνας) was born and raised in Thessaloniki. From a very young age he had been expressing his talent in music.  He began his guitar lessons at the age of ten. In high school and university he took part in many musical events. His first appearances took place in 1987 and his first CD recording in 1988.
 Read more on Last.fm",13213,84475
35,Ruggero Scandiuzzi,Read more on Last.fm,295,1462
36,Charme Chulo,"Banda Curitibana original ate o talo!
Influencias:
Smiths, Ramones, Legiao Urbana, Raul Seixas, The Thrills, The Killers, Tiao Carrero e Pardinho, Almir Sater, Mazzaropi, Dalton Trevisan, Buzzcocks, Belle & Sebastian...
O som lembra: Smiths, Legião Urbana, Poesia, Folk, Punk Rock, Caipira
Integrantes:
Igor Marcel  - Voz
Leandro Delmonico - Guitarra/Outro
Peterson Rosario - Baixo
Rony Jimenez - Bateria

www.charmechulo.com.br Read more on Last.fm",9424,221344
37,Lars Gullin,"Lars Gullin (May 4, 1928 – May 17, 1976) was a Swedish jazz baritone saxophone player, occasional pianist and composer closest in playing style to United States Cool school players, with a full tone, but also a lightness uncommon with baritone saxophonists and an influence from Swedish folk music, which helps make his music unique. He recorded with James Moody, Zoot Sims and Clifford Brown and toured several European countries with Chet Baker.

His son, Peter Gullin was also a baritone saxophonist and composer. Read more on Last.fm",57062,323867
38,Big Image,Read more on Last.fm,1970,12159
39,Namua Morimoto,Read more on Last.fm,135,1013
40,Aferdita Demaku,Read more on Last.fm,476,3555
41,Miguel Ríos,"Ríos was born in La Cartuja, a neighborhood of Granada. The youngest of seven children, he went to work in a local bar at the age of fifteen after little formal education. His interest in rock and roll led him to participate in a song contest at Cenicienta 60 radio station, in which he and his friends won a prize for singing the Paul Anka song ""You Are My Destiny"".

With his mother's permission (his father died a few months earlier), he moved to Madrid in 1961 at the age of sixteen, where he recorded his first four songs. Read more on Last.fm",34869,251409
42,Mahesh Dawar,Read more on Last.fm,3,3
43,Pedrinho Cavalléro,"Pedrinho Cavalléro is a Singer and Composer who was born in Belém, Pará, North of Brazil in November, 8, 1958.  

His Blog: www.pedrinhocavallero.com (portuguese only)
His MySpace: www.myspace.com/pedrinhocavallero

His Discography:
Individual

    * ""Prato de Casa"" (1982)
    * ""Pedrinho Cavalléro e Cabinho"" (1989)
    * ""Pássaro Cantador"" (1996)
    * ""Pedrinho Cavalléro 21 Anos"" (2002)
    * ""Onde e Quando"" (2005)

Coletâneas

    * Artistas reunidos RJ (1988) Read more on Last.fm",88,253
44,Matiu Colin,Read more on Last.fm,4674,30234
45,Código Zero,Read more on Last.fm,38,248
46,Slow Relaxing Jazz,Read more on Last.fm,1895,15950
47,Тетяна Бученко,Read more on Last.fm,220,1462
48,Zubeen Garg,"Zubeen Garg (born Zubeen Borthakur; 18 November 1972) is an Indian singer, music director, composer, lyricist, music producer, actor, film director, film producer, script writer and philanthropist. He primarily works for and sings in the Assamese, Bengali and Hindi-language film and music industries, but has sung in many other languages and dialects, including Bishnupriya Manipuri, Boro, English, Goalpariya, Kannada, Karbi, Khasi, Malayalam, Marathi, Mising, Nepali, Odia, Sanskrit, Sindhi, Tamil, Telugu, Tiwa. Read more on Last.fm",14156,177085
49,Shirley & Lee,"This New Orleans-based duo comprised Shirley Goodman (b. 19th June 1936, New Orleans, Louisiana, U.S.A. d. 5th July 2005, Cedar Sinai Hospital, Los Angeles, California, U.S.A.) and Leonard Lee (b. 29th June 1936, d. 23rd October 1976).

After singing in church choirs, Shirley recorded her first demo with a group of friends in 1950. Some months later, her solo voice caught the attention of Aladdin Records owner Eddie Messner, who tracked her down and paired her as a duo with a school friend, Leonard Lee. Read more on Last.fm",59339,223025
50,Donna Lewis,"Donna Lewis (born 6 August 1973, in Cardiff) is a Welsh singer-songwriter and record producer best known for the 1996 single ""I Love You Always Forever"".

""I Love You Always Forever"" was hugely successful on U.S. radio, staying at number two on the Billboard Hot 100 for nine consecutive weeks and spending thirteen consecutive weeks at number one on the airplay chart. It exceeded one million ""spins"" on radio to claim its place in music industry history as the most-played single up to that point. Read more on Last.fm",334239,2373450
51,Zéu Britto,Read more on Last.fm,20386,217865
52,Koolade,"Koolade (born Matko Sasek) is a Croatian hip-hop producer. Born in Zagreb, Croatia in the late 1970s, he began his music career in the mid/late 1990s. Along with other members of the Blackout family he made a strong contribution in making hip-hop an established genre in the Croatian mainstream music scene. Soon after that, he and his partner/manager Phat Phillie realized that his production would make a good export, and continued to expand his work throughout Europe and the US Read more on Last.fm",3601,18410
53,Sankalp Khetwal,Read more on Last.fm,44,93
54,Louise Dowd,Read more on Last.fm,7868,41603
55,Daryl Hall & John Oates,"From their first hit in 1974 through their heyday in the '80s, Daryl Hall and John Oates' smooth, catchy take on Philly soul brought them commercial success — including six number one singles and six platinum albums. Hall & Oates' music was well-constructed and produced; at their best, their songs were filled with strong hooks and melodies that adhered to soul traditions without being a slave to them by incorporating elements of new wave and hard rock. Read more on Last.fm",1701283,33964146
56,Miss Pooja,"Miss Pooja  (born Gurinder Kaur Kainth on December 4, 1975), known as ""The Queen of Duets"", is a popular female Bhangra singer from  Bathinda District, Punjab, India. Miss Pooja gained international success with her album entitled Queen of Duets. She is said to be reviving the duet style of ""chamkila amarjot"". In one of her (very few) TV interviews (2007), she revealed that she used to be a music teacher for children in the city of Rajpura in District Patiala, before launching her recording career.

 Read more on Last.fm",19144,128660
57,The Erotics,"There are more than one band named The Erotics. 

1)  The Erotics, formed in Albany, New York in 1990,  Led by the charismatic frontman Mike Trash, the band has gained a reputation for their raw and unapologetic approach to rock and roll. Their music is characterized by catchy hooks, gritty guitar riffs, and powerful vocals that leave a lasting impression on listeners.

The Erotics have released several critically acclaimed albums throughout their career. Read more on Last.fm",1625,20740
58,Joe Liggins,"Joe Liggins (July 9, 1916 - July 26, 1987) was a notable jazz, blues, and mostly R&B pianist, who played with the band Joe Liggins and the Honeydrippers in the 1940s and 1950s, as their frontman. His band was often a staple on the R&B chart in those years, with their biggest hit being ""The Honeydripper"", released in 1945. That single topped the, then called race chart, for 18 weeks. More than 60 years later, ""The Honeydripper"" remains tied with Louis Jordan's ""Choo Choo Ch'Boogie"" for the longest-ever stay at the top of that chart. Read more on Last.fm",19595,75960
59,Wagner Almeida,"Wagner Almeida Lamounier is a brazilian indie rock composer and musician from the city of Belo Horizonte, Minas Gerais. His best known album is Crescimento / Desistência. He also belongs to the artistic movement Geração Perdida de Minas Gerais (Minas Gerais Lost Generation). Read more on Last.fm",15202,277481
60,Melo Bakale,Read more on Last.fm,355,1442
61,Ramkesh Jiwanpurwala,Read more on Last.fm,39,150
62,Cigarro Mata,Read more on Last.fm,178,2288
63,Hi3ND,Read more on Last.fm,1657,5334
64,Yuri Vinogradov,"Yuri Vinogradov is a historian of philosophy and musician/composer/ improviser from Reutov, Russia. Read more on Last.fm",375,3360
65,The Hollywood Flames,"The Hollywood Flames were an American R&B vocal group in the 1950s, best known for their number 5 hit ""Buzz-Buzz-Buzz"" in 1957.

They formed as The Flames in 1949, in Watts, Los Angeles, at a talent show where members of various high school groups got together. The original members were Bobby Byrd (lead), David Ford, Curlee Dinkins and Willie Ray Rockwell. Rockwell was sometimes replaced by Clyde Tillis, and Ford sometimes sang lead. Their first paying gig was at Johnny Otis's Barrelhouse Club. Read more on Last.fm",20212,67079
66,Kruglov-Sooäär Quartet,Read more on Last.fm,86,291
67,Headnodic,"Headnodic is an American hip-hop producer. He released an instrumental hip-hop album called ""Tuesday"" in 2002. His latest release is a collaboration with Moe Pope called ""Megaphone"". 

Producer and bassist Headnodic, aka Ethan Parsonage, was very much influenced by the late-'80s/early-'90s rap scene in New York, where he was raised before moving to the Midwest. Once he figured out he was a better producer than rapper, he taught himself how to do pause tapes and play several instruments, including, of course, the bass.  Read more on Last.fm",21596,149900
68,Louis Armstrong & His Hot Seven,"Louis Armstrong and his Hot Seven was a jazz studio group organized to make a series of recordings for Okeh Records in Chicago, Illinois in May 1927. Some of the personnel also recorded with Louis Armstrong and his Hot Five, including Johnny Dodds (clarinet), Lil Armstrong (piano), Johnny St. Cyr (banjo and guitar). These musicians were augmented by Johnny Dodds's brother, Baby Dodds (drums), Pete Briggs (tuba), and John Thomas (trombone, replacing Armstrong's usual trombonist Kid Ory, then touring with King Oliver. Read more on Last.fm",24940,119378
69,Thanks Joey,Read more on Last.fm,3165,11437
70,Omar Sosa,"Omar Sosa (born April 10, 1965, in Camagüey, Cuba) is a composer, bandleader, and jazz pianist.  Sosa began studying marimba at age eight, then switched to piano at the Escuela Nacional de Musica in Havana, where he studied jazz. Sosa moved to Quito, Ecuador, in 1993, then San Francisco, California, in 1995. In San Francisco he became deeply involved in the local Latin jazz scene and began a long collaboration with percussionist John Santos. He also made a series of recordings with producer Greg Landau Read more on Last.fm",51801,499630
71,Uriel Henao,Read more on Last.fm,1834,18851
72,Aye Hit Gee,Read more on Last.fm,959,4389
73,Spandau Ballet,"Spandau Ballet are a popular British pop band most prominent during the 80s, at the beginning of which they were forerunners of the British new romantic movement. Its members are singer-songwriter Tony Hadley on vocals, brothers Gary Kemp and Martin Kemp on guitar and bass respectively, with Gary also supplying background vocals, Steve Norman on saxophone, and John Keeble on the drums. Gary Kemp also wrote or co-wrote most of the group's music and lyrics. Read more on Last.fm",1118651,10574617
74,Rico 2 Smoove,Read more on Last.fm,1352,22339
75,Ağadadaş Ağayev,Read more on Last.fm,355,2763
76,The Robins,"The Robins were formed in 1949 in Los Angeles, California. They had previously been known since 1947 as “The Bluebirds.” The best known recording from the Robins was “Smokey Joe’s Café.” If It’s So Baby was another top 10 R&B hit from the group.

The original group members were Ty Terrell, Billy Richards, Roy Richards, and Bobby Nunn. Carl Gardner and Grady Chapman were added in 1954. In 1956, Garner and Nunn left and formed The Coasters.
 Read more on Last.fm",106671,359176
77,Danilo Bolado,Read more on Last.fm,3863,17671
78,idontexist,Read more on Last.fm,142,844
79,Leroy Hutson,"One of the most underrated soul producers of the '70s, multi-talented producer/singer/songwriter/instrumentalist Leroy Hutson began his career in various vocal groups around his hometown of Newark, NJ, in the '60s, but saw his early success as a co-writer for Howard University roommate Donny Hathaway's 1970 hit single ""The Ghetto."" Hutson would later replace Curtis Mayfield in 1971 as the lead singer in the Impressions and stayed with them until 1973, when he followed in Mayfield's footsteps and launched his own solo career. Read more on Last.fm",141845,702836
80,Umm Kulthum,"Umm Kulthum (Arabic: أم كلثوم, born أم كلثوم إبراهيم البلتاجي Umm Kulthum Ebrahim Elbeltagi; Egyptian Arabic: Om Kalsoum). (May 4, 1904 – February 3, 1975). Various spellings include Om Kalthoum,Om Kulthoom, Oum Kalthoum, Oum Kalsoum, and Umm Kolthoum. In Turkish, she is named Ümmü Gülsüm. She was an Egyptian singer, songwriter, and actress. Born in El Senbellawein, she is known as ""the Star of the East"" (kawkab el-sharq). Read more on Last.fm",22020,218457
81,Jimmy Dorsey,"Jimmy Dorsey (February 29, 1904 – June 12, 1957) was born in Shenandoah, Pennsylvania, the son of a music teacher, but overshadowed by his younger brother Tommy Dorsey, the prominent musician. He played trumpet in his youth, appearing on stage in a Vaudeville act as early as 1913. He switched to alto saxophone in 1915, and then learned to double on clarinet.badboom Read more on Last.fm",87451,410032
82,Como Asesinar a Felipes,Read more on Last.fm,16846,398848
83,Barbara Lewis,"Barbara Lewis (born 9 February 1943 in Salem, Michigan) is a American singer and songwriter whose smooth style influenced rhythm and blues.

Born in Salem (near Ann Arbor), Michigan, Lewis was writing and recording by her teens with producer Ollie McLaughlin. (McLaughlin was a black DJ at Ann Arbor radio station WHRV, now WAAM, who is also credited with discovering Del Shannon.) Her first single release in 1962, the uptempo ""My Heart Went Do Dat Da,"" did not chart nationally but was a local hit in the Detroit area. Read more on Last.fm",238625,1409687
84,Giorgio Gaslini,"Giorgio Gaslini (22 October 1929 – 29 July 2014) was an Italian jazz pianist, composer and conductor.

He began performing aged 13 and recorded with his jazz trio at 16. 
In 1948 he recorded with Gino Stefani on clarinet and Gil Cuppini on drums. In the 1950s and 1960s, Gaslini performed with his own quartet. He was the first Italian musician mentioned as a ""new talent"" in the Down Beat poll and the first Italian officially invited to a jazz festival in the USA (New Orleans 1976-77). Read more on Last.fm",53781,265857
85,Danba,"SKA PUNK band from Gazteiz (Basque Country), which evolutioned from typical 80s ska-punk to new funk-metal sounds. Its lyrics were always about social issues, politics, etc. and sung in basque langue. Danba decided to dissolved in 1993 after recording three albums and one demo tape (1985).
http://www.discogs.com/artist/1112243
http://www.elkar.com/es/musika_fitxa/8436000880540
http://www.gordiscos.com/tienda_articulo.php?id_articulo=13&hizk=en&

 Read more on Last.fm",754,6118
86,Prakash Jal,Read more on Last.fm,14,16
87,Frente!,"Frente! was an Australian alternative pop/rock group, formed in 1991. The lineup featured singer Angie Hart, founder and guitarist Simon Austin, bassist Tim O'Connor (later replaced by Bill McDonald), and drummer Mark Picton (later replaced by Alastair Barden).

Frente! burst onto the Australian music charts with the singles ""Ordinary Angels"" and ""Accidently Kelly Street"" in 1992. Frente!'s debut album, Marvin the Album was also a success, going platinum in Australia. Read more on Last.fm",111452,1363049
88,Jazz Relax Coffee House,Read more on Last.fm,726,10332
89,Birbal Musafir,Read more on Last.fm,10,41
90,Freja Kirk,Danish neo soul pop Read more on Last.fm,13745,66859
91,Frances Yip,"葉麗儀

Frances Yip Lai-yee (born 1947) is a Hong Kong English pop and Cantopop singer. She is best known for performing many of the theme songs for television series produced by TVB in the 1980s and early 1990s.

Born in 1947, Yip is of Hakka ancestry, and is the youngest of 5 siblings. She grew up in a rural area in Hong Kong, and studied in St. Clare's Girls' School, an English Catholic school.

Her first singing job was in 1969 when she won Read more on Last.fm",16394,85690
92,Dean Martin,"Dean Martin (born Dino Paul Crocetti; June 7, 1917 – December 25, 1995) was an American singer, actor, comedian, and producer. One of the most popular and enduring American entertainers of the mid-20th century, Martin was nicknamed the ""King of Cool"" for his seemingly effortless charisma and self-assurance. 

He and Jerry Lewis formed the immensely popular comedy duo Martin and Lewis, with Martin serving as the straight man to Lewis' slapstick hijinks. Read more on Last.fm",2567892,35642454
93,Raymonde,"Raymonde - Lyon-based artist, founder of the cassette-label Mus Joutra. Real name Thibaut de Raymond. 

***

RAYMONDE, Mancunian 4 piece, UK rock/pop: James Maker, Phil Huish, Leslie Westlake & Derek Thompson (later Simon Hoare & Peter Thomas). 
1986 debut release on Rough Trade: ""Raymonde""/""These Boots Are Made For Walking"".  Thereafter, a series of gigs ensued at mainly student venues.  ""Jennifer Wants"" appeared on a 'Record Mirror' ep. Lazy journalism Read more on Last.fm",2073,32435
94,Palo Mudo,Read more on Last.fm,16,114
95,The Impalas,"The Impalas were an American doo-wop group in the late 1950s, best known for their hit, ""Sorry (I Ran All the Way Home)"".

The group formed in 1958 in Brooklyn, New York, and comprised of lead singer Joe ""Speedo"" Frazier (born 5 September 1943), Richard Wagner, Lenny Renda, and Tony Carlucci. They were a racially integrated group - Frazier was the only black member.

They recorded for the small Hamilton record label before they were discovered by songwriters and promoters Artie Zwirn and Aristides ""Gino"" Giosasi Read more on Last.fm",20859,72126
96,Felezhetetlen,Read more on Last.fm,2,5
97,JVNR,Read more on Last.fm,161,433
98,Pastel de Miolos,Read more on Last.fm,1432,12079
99,Chris Rea,"Christopher Anton Rea (born 4 March 1951) is an English rock and blues singer and guitarist from Middlesbrough. A ""gravel-voiced guitar stalwart"" known for his slide guitar playing, Rea has recorded twenty five solo albums, two of which topped the UK Albums Chart. Described as ""rock's ultimate survivor"", given his recovery from several bouts of serious illness, Rea was ""a major European star by the time he finally cracked the UK Top 10"" with his single ""The Road to Hell (Part 2)"". Read more on Last.fm",1155903,13959550
100,Fred Fredburguer,Read more on Last.fm,494,3872
101,Carlos Lima,Read more on Last.fm,59,416
102,The Cleftones,"The Cleftones was an American vocal group formed in 1955, who were then called The Silvertones at Junior High School 40 in Jamaica, Queens, New York City. 

In 1955, the members of the group were high school students attending Jamaica High School in Queens, New York. The group initially formed around the idea of writing a political campaign jingle for Jamaica High School's Independent Party, an unpopular group of students ""made up of people who were typically also-rans in all the school activities"" Read more on Last.fm",76441,393604
103,Wardell Gray,"Wardell Gray (February 13, 1921 – May 25, 1955) was an American swing and bebop jazz tenor saxophonist.

Wardell Gray was born in Oklahoma City, the youngest of four children. His early childhood years were spent in Oklahoma, before moving with his family to Detroit, Michigan in 1929.
In early 1935, Gray began attending Northeastern High School, and then transferred to Cass Technical High School, which is noted for having Donald Byrd, Lucky Thompson and Al McKibbon as alumni. Read more on Last.fm",16982,92449
104,Frankie Valli & The Four Seasons,"The Four Seasons (also known, off and on, as Frankie Valli & The Four Seasons) is an American pop and rock group that came about in 1960 after Bob Gaudio joined up with musicians Frankie Valli, Tommy DeVito, and Nick Massi, all of them from Newark, New Jersey. The Seasons' first hit, titled ""Sherry"", came out in 1962. With producer Bob Crewe, Gaudio wrote a string of subsequent tunes that were big hits for the Seasons in the 60s , including ""Big Girls Don't Cry"", ""Walk Like a Man"", ""Ronnie"", ""Save It For Me"", and ""Bye Bye Baby"". Read more on Last.fm",866732,9576800
105,Landau,"Formed in 1998, Landau was originally a union of four songwriter/ producers geared towards writing melodic electronic music. Their earliest influences included the 1990's Warp Scene, trip hop, drum & bass and western art music.The groups underlying goal and aesthetic has always been the seamless blend of acoustic and electronic sound. Landau's sound has often been compared to Plaid, Autechre, The Cinematic Orchestra, and Matmos amongst others.

After releasing a series of offerings on Labels in England Read more on Last.fm",31286,268339
106,Grupo Raíces de Venezuela,Read more on Last.fm,226,2382
107,Baboon Ha,Read more on Last.fm,38,197
108,Jah Mason,"Born in Manchester, Jamaica, reggae singer Jah Mason made his debut in 1991 with the single ""Selassie I Call We."" Recorded for Junior Reid's record label, the single appeared under the name Perry Mason, a nickname Mason had picked up during his childhood due to his ability to settle arguments. He always preferred the country to the city since it was easier to meditate there and as Mason claims, ""I can communicate with the birds and the trees."" After hooking up with David House Read more on Last.fm",139806,955999
109,Drenna,Read more on Last.fm,2204,14192
110,Angel NeBes,Read more on Last.fm,355,1916
111,M'ax,Read more on Last.fm,67,335
112,Diana Navarro,"Diana NAvarro, is simply the best Coplera, this is a southern style of sentimental music, that speaks of the heart the soul and the everyday life of Andalusian people . If one walks on the beaches of the southern  city of Malaga, you can count your self as very, very lucky if you share the beach with the beauty and talent of Diana Navarro Read more on Last.fm",16031,173222
