,artist,biography,listeners,playcount
22,Leon Bridges,"Leon Bridges (born Todd Michael Bridges on July 13, 1989) is an American gospel and soul singer, songwriter and record producer from Fort Worth, Texas. 

Bridges began performing in and around Fort Worth, Texas and stirred up music industry interest with analog recordings, produced by Justin Block and Austin Jenkins of White Denim, which were uploaded to his SoundCloud page. Signed to major-label Columbia, his first singles -- including a rich ballad Read more on Last.fm",940942,18685431
23,Moonlight Jazz Trio,Read more on Last.fm,49337,134299
24,rum.gold,Rum.gold is a Singer-Songwriter With a Distinct Voice and a Genre-Defying Sound Read more on Last.fm,133810,1002170
25,Biig Piig,"Jessica Smyth, known by the stage name Biig Piig, is an Irish singer and rapper, based in West London. She performs in English and Spanish and is signed to RCA Records. Smyth was born in Cork, Ireland. She lived in Spain from the age of four to twelve, after her family had moved on advice that the climate would be better for her brother's asthma. Upon moving with her family back to Ireland, she was at first able to read and write only in Spanish and had to reintegrate into Irish culture. Read more on Last.fm",453949,6580464
26,Abraham Afewerki,Read more on Last.fm,1646,32900
27,Triosence,"Triosence, Bernhard Schüler (piano) with Matthias Nowak (bass) and Stephan Emig (drums) has become one of the most successful jazz bands in Germany. 

Formed in 1999, Triosence has won numerous jazz competitions and national jazz awards such as winner of the national jazz competition “Jugend jazzt”, “1st Ostsee Jazz Festival Prize”, and a CD recording contract with the German national radio network, “Deutschlandfunk”. 

Their first CD Read more on Last.fm",66220,401469
28,June Freedom,"June Freedom is a genre-bending artist whose sonic tapestry blends Afro-Latin rhythms, alt-pop, R&B, and worldbeat. Born in Boston and raised in Cape Verde, his music reflects a rich cultural journey across continents. As a transatlantic artist, June connects with a global audience through his multilingual approach, singing in English, Portuguese, Spanish, and Kriolu.

His debut album Anchor Baby became a Cape Verdean classic, while 7 SEAS solidified his position as a rising global force. Read more on Last.fm",112228,1109190
29,Ellie Goulding,"Ellie Goulding (born Elena Jane Goulding, 30 December 1986 in Hereford, England) is an English singer-songwriter. Having caught the public's attention in 2010 with her singles ""Starry Eyed"" and ""Guns and Horses,"" British vocalist Ellie Goulding quickly rose to the top of the charts with her infectious electronic pop sound. Although she started out writing songs in a folk-inflected style, she eventually grew into a more electronic-influenced artist, touching upon dance music and ambient synth pop. Read more on Last.fm",3638729,142718330
30,Mareux,"Mareux is an electronic music project from LA based musician and producer Aryan Ashtiani. Releases like “Cold Summer” and “the Perfect Girl” sparked a cult following, particularly in Eastern Europe and South America.
In describing Mareux's sound, reviewer Fabrizio Lusso puts it best: “Mareux‘s moody and strongly emotional electronic laden lo-fi approach straddles the line between synth-pop, coldwave and post-punk in a stunning and infectious blend of thick glacial beats Read more on Last.fm",994893,20845680
31,Colby Brock,Read more on Last.fm,22374,328498
32,Jordan Ward,"Born Jordan Alexander Ward on March 25,1996 in St. Louis, Missouri, Ward grew up singing and dancing around his neighborhood and school. He eventually became involved in musical theater in his adolescence and joined a dance studio to train in ballet, tap, jazz and hip-hop. Throughout high school, Ward honed in on dancing, booking under-the-table gigs and teaching classes to earn extra money. At 18, he moved to Los Angeles, and in his early 20s, he began touring as a backup dancer for artists like Justin Bieber and Becky G. Read more on Last.fm",426083,11582014
33,Snoh Aalegra,"Snoh Aalegra is a Los Angeles based R&B/Soul artist originally from Uppsala Sweden. 

Snoh Aalegra's career started at age 9 when she began writing songs in her bedroom. In 2001, Snoh signed an artist development deal with Sony Music Sweden where no music was released throughout this deal. In 2009 Snoh started releasing music under the mononym Sheri, later releasing her first album First Sign with Universal Music Sweden. Although physical copies of this album do still exist Read more on Last.fm",809040,19056496
34,Marcus King,"Marcus King is an American singer, songwriter, and guitarist. He also fronts The Marcus King Band.  Read more on Last.fm",244258,2433205
35,Zara Larsson,"Zara Maria Larsson (born 16 December 1997) is a Swedish singer-songwriter and actress. She gained national recognition in 2008 after winning the second season of Talang, the Swedish adaptation of the Got Talent format. She achieved international success with singles such as ""Lush Life"" (2015), ""Never Forget You"" (2015), ""Girls Like"" (2016) with Tinie Tempah, ""This One's for You"" with David Guetta, ""Ain't My Fault"" (2016), ""I Would Like"" (2016), ""Symphony"" (2017) with Clean Bandit Read more on Last.fm",1674428,47888012
36,DEMONDICE,"DEMONDICE is a vocalist, rapper, lyricist and animator. She moved to Japan to start music activities in Tokyo’s underground internet rap scene, before finding her niche on the net aiming to popularize what she considers “alternative rap.” Read more on Last.fm",51978,3644854
37,Ximena & Antonio,Read more on Last.fm,7186,18152
38,Loona,"There are at least 3 artists named Loona:

1) LOONA, sometimes stylized as LOOΠΔ (Hangul: 이달의 소녀; lit. Girl of the Month) are a 12 membered South Korean girl group formerly under BlockBerryCreative, a subsidiary of Polaris Entertainment. The group is currently on an indefinite hiatus as a result of all 12 members winning their contract termination lawsuits, and all (aside from Yves and Chuu who are pursuing a solo career) have spread across four different companies at the time of writing this. Read more on Last.fm",1061788,106371271
39,Biffy Clyro,"Biffy Clyro is an alternative rock band which formed in Kilmarnock, Scotland in 1995. The band consists of Simon Neil (vocals, guitar), James Johnston (bass, vocals) and his twin brother Ben (drums, vocals). The band has released ten albums since their formation: ""Blackened Sky"" (2002), ""The Vertigo of Bliss"" (2003), ""Infinity Land"" (2004), ""Puzzle"" (2007), ""Only Revolutions"" (2010) , ""Opposites"" (2013) and ""Ellipsis"" (2016), ""Balance, Not Symmetry"" (2019), ""A Celebration of Endings"" (2020), and ""The Myth of the Happily Ever After"" (2021). Read more on Last.fm",1162886,63260536
40,The Marías,"Formed in Los Angeles in late 2016, The Marías is a smooth rendezvous of jazz percussion, hypnotic guitar riffs, smoke- velvet vocals and nostalgic horn solos, there’s something undeniably sensual in the group’s dreamlike fusion of jazz, psychedelia, funk and lounge.

The band is named after its lead singer María Zardoya, who was born in Puerto Rico and raised in Atlanta, Georgia. She and her partner Josh Conway, the drummer, met at a show at the Kibitz Room, the bar and music venue inside Canter's Deli in Los Angeles. Read more on Last.fm",2027699,154531869
41,jxdn,"Born Jaden Hossler, in Dallas, TX, jxdn struggled to find his voice in high school as an outsider. In 2018, he took control and developed a presence online through a consistent stream of engaging and clever content. He quietly exploded on Tik Tok, attracting 9.3 million followers and 283.8 million likes. After witnessing an arena show by the late Juice WRLD, he dove headfirst into music and unleashed his independent debut single “Comatose.” The Read more on Last.fm",336314,10879422
42,Aaryan Shah,"A child of immigrants from India, Aaryan Shah is a 20-year old R&B artist from Los Angeles, CA. Growing up in an era where the internet is redefining musical boundaries, Aaryan draws insipration from artists like Bruno Mars, Freddie Mercury, & Billie EIlish. Aaryan built an identity by removing his identity, instead focusing on the emotions & messages he delivers to his fans. His music resonates with people of all ages and walks of life, from around the world. Read more on Last.fm",295212,3980319
43,Architects,"Architects is a mathcore/metalcore/alternative metal band from Brighton, East Sussex, United Kingdom, formed in 2004 by twin brothers Dan and Tom Searle. As drummer and guitarist, respectively, they were joined by guitarist Tim Hillier-Brook, bassist Tim Lucas, and vocalist Matt Johnson. Strongly influenced by the Dillinger Escape Plan, their initial sound was coarse, chaotic, and rhythmically complex. Lucas was soon replaced by Alex Dean while Johnson left after the release of their debut album Nightmares (2006). Read more on Last.fm",767434,70678444
44,Nina Simone,"Eunice Kathleen Waymon (21 February 1933 – 21 April 2003), better known by her stage name Nina Simone, was an American singer, pianist, arranger, and civil rights activist widely associated with jazz music. Simone aspired to become a classical pianist while working in a broad range of styles including classical, jazz, blues, soul, folk, rhythm and blues, gospel, and pop.

Simone was born Eunice Kathleen Waymon on 21st February 1933 in Tryon, North Carolina, USA, one of eight children. Read more on Last.fm",2832662,70384761
45,Hot Mulligan,"Michigan’s upper peninsula is trapped under what seems like permafrost for most of the year. This chilling effect makes the landmass more comfortable with stationary lives rather than lives spent outside its natural sprawl. Hot Mulligan may have been born in this green giant, but they escaped its clutches shortly after high school to beat pavement and their own neuroses-at the same time.

Since 2014, the five-piece has gained ground for their earnest approach to songwriting Read more on Last.fm",318983,27009445
46,Surprise Chef,"Surprise Chef are Coburg’s cinematic soul journeymen, pushing moody shades of instrumental jazz-funk with a DIY mentality.

The centrepiece of the College Of Knowledge Records roster, Surprise Chef’s output reflects a meticulous education of 1970’s soul, touching on the legacies of composer/producers David Axelrod & Isaac Hayes, with cues also taken from the catalogues of Daptone and Truth & Soul    Read more on Last.fm",162057,1768703
47,Forest Blakk,"Growing up in Montreal, with time spent in Florida and Jamaica, the singer/songwriter first took up guitar as a refuge from his chaotic home life, then spent years learning to channel his most complex emotions into song. With his breakthrough single “If You Love Her” —a fall 2020 release that marks his Billboard debut— Blakk has brought his heart-on-sleeve songwriting to a whole new level of resonance, again proving music’s power to transform both audience and artist. Read more on Last.fm",220008,2273097
48,Gregory Porter,"Gregory Porter (born November 4, 1971)[1] is an American singer, songwriter, and actor. He won the Grammy Award for Best Jazz Vocal Album in 2014 for Liquid Spirit and in 2017 for Take Me to the Alley.[2]

Gregory Porter was born in Sacramento and was raised in Bakersfield, California, where his mother was a minister. A 1989 graduate of Highland High School, he received a ""full-ride"" (tuition, books, medical coverage, and living expenses) athletic scholarship as a football lineman to San Diego State University (SDSU Aztecs) Read more on Last.fm",419485,6158218
49,The Royston Club,"The Royston Club are a four-piece indie band from Wrexham, North Wales consisting of Tom Faithfull (lead vocals and rhythm guitar), Ben Matthias (lead guitar and main song writer), Dave Tute (bass) and Sam Jones (drums). After becoming friends at secondary school, Tom, Ben and Dave started playing together in 2017 due to their shared passion for playing indie music, then added Sam on drums in 2019 to create The Royston Club. Read more on Last.fm",66170,2492542
50,Richard Ashcroft,"Richard Ashcroft (born Richard Paul Ashcroft, on September 11, 1971, in Billinge, Wigan, England) is best known as the front man of The Verve, which he helped form in 1989.

After that band's demise in 1999, Ashcroft began his solo career, releasing Alone with Everybody in 2000, Human Conditions in 2002 and Keys to the World in 2006. He performed vocals for the track Lonely Soul on UNKLE's 1998 release Psyence Fiction and his voice can also be heard on the The Chemical Brothers' album Come With Us track The Test. Read more on Last.fm",661881,8462121
51,Matt Corby,"Matthew John ""Matt"" Corby (born 7 November 1990, Australia) is an Australian singer songwriter.

Matt Corby has certainly carved a unique path for someone that started his career aged 16 on a reality TV talent show in 2007. In 2009, he independently released his debut EP 'Song For...' before relocating to London and signing with renowned UK indie label Communion after capturing the attention of the label's owner; Ben Lovett of Mumford and Sons fame. Read more on Last.fm",434048,6491742
52,Catching Flies,"Catching Flies is a musician, DJ and record producer from London, England. He has self-released two EPs and done numerous remixes for artists like Wilkinson and Rainy Milo. His sound has been described as sitting on the ""smooth, mellow side of electronic music"" somewhere ""between Flying Lotus and Bonobo"" Read more on Last.fm",321616,3819732
53,Mario Winans,"Mario Mendell Winans (born August 29, 1974 in Orangeburg, SC) is an American R&B producer, singer, songwriter, and multi-instrumentalist best known for his 2004 song ""I Don't Wanna Know"", which reached number 2 in the United States and number 1 in the United Kingdom. Winans also won a Grammy Award for Best Gospel Performance for co-writing CeCe Winans's song ""Pray"".




Early career:
Mario Winans was born in Orangeburg, South Carolina but grew up in Detroit. Read more on Last.fm",354609,1922164
54,French Police,"The project of Chicago-based Brian Flores, French Police craft romantic indie pop with a haunting, soulful endearment. Read more on Last.fm",226726,2660041
55,Nikitch,"Nicolas Morant is a curious and versatile musician, having learnt the flute as a child and trained in classical music. He explores new artistic territory by combining jazz and electronic music within several different bands and projects.

Under the Nikitch alias, he’s been supported by artists such as Gilles Peterson, Laurent Garnier, Lefto and 20Syl, working with many worldwide labels like Soulection, Ninja Tune, Brownswood Recordings and most recently Tru Thoughts.  Read more on Last.fm",36526,175845
56,Kehlani,"Kehlani Ashley Parrish (born April 24, 1995), known professionally as Kehlani, is an American singer and songwriter. Kehlani is originally from Oakland, California where they achieved initial fame as a member of the teen pop group, Poplyfe, which was a finalist on America's Got Talent. Kehlani released their first mixtape Cloud 19, in 2014; followed by their sophomore mixtape You Should Be Here the next year. Their debut album SweetSexySavage was released in January 2017 to mainly positive reception Read more on Last.fm",1447414,57139028
57,Black Eyed Peas,"Black Eyed Peas is an American hip hop/pop group formed in Los Angeles in 1995. The group's current line-up consists of will.i.am, Taboo and apl.de.ap. Black Eyed Peas have so-far sold an estimated 56 million albums and singles worldwide.

Black Eyed Peas went to centenary state high school and got their start in 1988 when will.i.am (born 1975 William James Adams Jr.) and apl.de.ap (born 1974 Allan Pineda) began rapping and performing together around Los Angeles. Read more on Last.fm",5363016,135693545
58,Quincy Jones,"Quincy Delight Jones Jr. (March 14, 1933 – November 3, 2024) was an American record producer, songwriter, composer, arranger, and film and television producer. His career spanned over 70 years, with 28 Grammy Awards won out of 80 nominations, and a Grammy Legend Award in 1992. 

Jones came to prominence in the 1950s as a jazz arranger and conductor before working on pop music and film scores. He moved easily between genres, producing pop hit records Read more on Last.fm",863834,7785113
59,Marcin Wasilewski Trio,"The trio of Marcin Wasilewski, Slawomir Kurkiewicz and Michal Miskiewicz is one of the most outstanding contemporary jazz groups. Their friend and mentor trumpeter Tomasz Stańko has said, “In the entire history of Polish jazz we've never had a band like this one. They just keep getting better and better.” It was through Stańko's ECM recording Soul of Things, recorded 2001, that the wider world first had a hint of the capacity of Wasilewski/Kurkiewicz/Miskiewicz. Read more on Last.fm",112849,911176
60,Lana Del Rey,"Elizabeth Woolridge Grant, known professionally as Lana Del Rey, is an American singer-songwriter and producer. Her music is noted for its cinematic quality and exploration of tragic romance, glamour, and melancholia, with frequent references to contemporary pop culture and 1950s–1960s Americana.

Raised in upstate New York, Del Rey moved to New York City in 2005 to pursue a music career. After numerous projects, including her self-titled debut studio album Read more on Last.fm",4895522,1384039731
61,Myele Manzanza,"Myele Manzanza is a Wellington, New Zealand drummer and producer.  One of the members of Electric Wire Hustle, he had previously played in Olmecha Supreme and the Recloose live band.  He collaborates with many other Wellington musicians.

Myele attended Red Bull Music Academy and had some tracks on their compilation Various Assets - Not For Sale: Red Bull Music Academy London 2010 where he collaborated with Hudson Mohawke, B. Bravo, Robin Hannibal and more. Read more on Last.fm",34841,147231
62,Sun Room,"Sun Room is a band from San Diego, California. They are used to making fun independent music out of their very hot garage and are now touring the world for the first time as a support band, and they are quickle conquering the hearts of listeners. Seldom does the name of a band capture the vibes of the group as well as Californian band, Sun Room. In the way that Rage Against The Machine briefs you on what they’re about before “Killing In the Name Of” can even grace ones ears, Sun Room achieves a similar effect. Read more on Last.fm",152874,1683093
63,Carsten Dahl,"Biography

Carsten Dahl b. 1967

Carsten Dahl began playing the drums at age 9. By 14 years old, he was already a professional drummer / studio musician and at 19 he entered the Rhythmic Music Conservatory. After two years of being taught by legendary jazz drummers Ed Thigpen and Alex Riel, he put drums aside in favour of the piano (an instrument he had never been taught in his life) and applied again to the conservatory - now as a pianist greatly influenced by Jørgen Nielsen and later Read more on Last.fm",26874,119794
64,Simon Westman Trio,Read more on Last.fm,11384,29314
65,Lewis Capaldi,"Lewis Marc Capaldi (born 7 October 1996) is a Scottish singer-songwriter from Whitburn, a town in West Lothian.

He first rose to mainstream prominence on 8 November, 2018, with the release of his second EP Breach, including the massive hit single ""Someone You Loved"".

2019 saw ""Someone You Loved"" charting in over 29 counties and becoming a global hit.

On 17 May, 2019, Capaldi released his debut album titled Divinely Uninspired to a Hellish Extent Read more on Last.fm",1408643,47056714
66,Will Paquin,"Will Paquin (born August 1, 1999) is an American musician and singer originating from Boston. He is recognized for his unique guitar skills and captivating musical style.

Paquin's musical journey commenced during his childhood when he began playing the guitar. Influenced by prominent jazz guitarists such as Wes Montgomery and Kenny Burrell, he developed a distinct guitar style characterized by intricate and captivating riffs.

In 2020, Paquin gained prominence through TikTok. Read more on Last.fm",567918,7781622
67,ITZY,"ITZY (Hangul: 있지; Katakana: イッチ) is a South Korean girl group formed by JYP Entertainment, consisting of 5 members: YEJI (예지), LIA (리아), RYUJIN (류진), CHAERYEONG (채령), and YUNA (유나). The group debuted on February 12, 2019 with the title track ""달라달라 (DALLA DALLA)"" from their debut single album, IT'z Different. 

ITZY's official fandom name:MIDZY (Hangul: 믿지). The meaning behind it is ""trust"" in korean.

The group's first release after debut was their first extended play IT'z ICY on July 28 Read more on Last.fm",905484,123085168
68,H.E.R.,"Gabi Wilson (born June 27, 1997), better known by her stage name H.E.R. (acronym for Having Everything Revealed), is an American singer from Vallejo, California. Before being known as H.E.R., Wilson rose to fame by participating in 2009’s Radio Disney’s Next Big Thing. She signed to RCA Records and has released five extended plays under the label: H.E.R. Volume 1 (2016), H.E.R. Volume 2 (2017), H.E.R. Volume 2, The B Sides (2017), I Used To Know Her: The Prelude (2018) and I Used To Know Her: Part 2 (2018). Read more on Last.fm",1209567,31435296
69,Greentea Peng,"Greentea Peng, real name Aria Wells, is a neo-soul and self-described 'psychedelic R'n'B' singer and songwriter from southeast London, UK. Her musical influences include Lauryn Hill, Erykah Badu, Miss Dynamite and Lily Allen. Her stage name is taken from her love of green tea, and the London slang word 'peng' - which means attractive or tasty. Her debut EP, Sensi, was released in October 2018. and incorporated multiple genres, including R'n'B, hip hop and dub reggae. Read more on Last.fm",319478,5139639
70,Jonasu,"Jonasu has in a short space of time seen himself climb to the forefront of the rising stars list in the Pop and Dance music world. His songs and songwriting contributions have seen him accumulate hundreds of millions of streams and gain international recognition amongst his peers and fans alike. 

Having previously toured the world as a session musician, Jonasu has now turned his attention to creating songs with catchy melodies, driving house beats and unforgettable hooks in this his first solo outing.  Read more on Last.fm",99813,678890
71,Lars Danielsson,"Lars Danielsson was born in 1958 and was educated from the Music Conservatory in Gothenburg. Both on double bass, electric bass and cello, originally his main instrument.

""Lars Danielsson Quartet"" with former Miles Davis saxophonist David Liebman, pianist Bobo Stenson and ECM drummer Jon Christensen has existed for 20 years and has been a playground for Danielsson's work as a composer and arranger. 

During the previous years in co-operation with Denmark's Radios RUO Orchestra (a Symphony Orchestra) he has served as a composer Read more on Last.fm",76918,1300091
72,Elvine Harley,Read more on Last.fm,59596,319942
73,Bluey,"1. Bluey is an Australian children's animated series that premiered on 1 October 2018. The series' soundtrack, Bluey the Album, was released on 22 January 2021.

2. Bluey is an Indonesian jazz-pop band who was formed of several persons who have a common desire in music and puts the concept of how different colors can be integrated into a style of music is more touching. Blues, Jazz and Pop are the main taste they was translated into a far more flexible texture.  Read more on Last.fm",119816,3278546
74,John Engels,"John Engels (Groningen, May 13th 1935 - present) is a wall known Dutch jazz drummer. Besides being a member of The Diamond Five, Louis van Dijk Trio and Boy Edgar jazz groups, he also performed with Pia Beck, Kid Dynamite, Stan Getz, Clifford Brown, Ben Webster, Chet Baker, Cab Kaye, Dizzy Gillespie, Johnny Griffin, Phil Woods, Tommy Flanagan, Hank Jones, Sonny Stitt and Wynton Marsalis.

Best bio: http://www.muziekencyclopedie.nl/action/entry/John+Engels Read more on Last.fm",20723,51027
75,Jazzy Coffee,Read more on Last.fm,37020,1009244
76,Rikard From,Rikard From is a Swedish pianist.  He has released solo jazz compositions as well as blues music with the band FROM. Read more on Last.fm,74067,325684
77,BRKN LOVE,"https://www.youtube.com/channel/UCin9JWuP5voSbb8OKJZj92Q/about
 Read more on Last.fm",95429,1022945
78,Foo Fighters,"Foo Fighters are an American rock band formed in Seattle in 1994. Foo Fighters was initially formed as a one-man project by former Nirvana drummer Dave Grohl. Following the success of the eponymous debut album, Grohl (lead vocals, guitar) recruited a band consisting of Nate Mendel (bass guitar), William Goldsmith (drums), and Pat Smear (guitar). After a succession of lineup changes, including the departures of Goldsmith and Smear, the band formed its core lineup in 1999 consisting of Grohl Read more on Last.fm",6094952,345480215
79,KAMAUU,"Washington D.C.-born and New York-based artist, rapper, poet, and thinker KAMAUU officially signed with Atlantic Records in 2015 and made his first proper debut with his appearance on “QUEEN” from No Wyld’s critically acclaimed Ascension EP. In 2016 he released A Gorgeous Fortune EP which introduced his first solo single “Jusfayu.” The single went on to generate over 10 million cumulative streams and was handpicked by NPR as one of their “Songs We Love.”  Read more on Last.fm",155132,1381426
